crystals[0] = link_in[0].range(31, 16) = 0;
crystals[1] = link_in[0].range(47, 32) = 0;
crystals[2] = link_in[0].range(63, 48) = 0;
crystals[3] = link_in[0].range(79, 64) = 2;
crystals[4] = link_in[0].range(95, 80) = 0;
crystals[5] = link_in[0].range(111, 96) = 0;
crystals[6] = link_in[0].range(127, 112) = 0;
crystals[7] = link_in[0].range(143, 128) = 3;
crystals[8] = link_in[0].range(159, 144) = 0;
crystals[9] = link_in[0].range(175, 160) = 0;
crystals[10] = link_in[0].range(191, 176) = 0;
crystals[11] = link_in[1].range(31, 16) = 0;
crystals[12] = link_in[1].range(47, 32) = 0;
crystals[13] = link_in[1].range(63, 48) = 0;
crystals[14] = link_in[1].range(79, 64) = 0;
crystals[15] = link_in[1].range(95, 80) = 8192;
crystals[16] = link_in[1].range(111, 96) = 82;
crystals[17] = link_in[1].range(127, 112) = 0;
crystals[18] = link_in[1].range(143, 128) = 0;
crystals[19] = link_in[1].range(159, 144) = 0;
crystals[20] = link_in[1].range(175, 160) = 0;
crystals[21] = link_in[1].range(191, 176) = 0;
crystals[22] = link_in[2].range(31, 16) = 0;
crystals[23] = link_in[2].range(47, 32) = 0;
crystals[24] = link_in[2].range(63, 48) = 0;
crystals[25] = link_in[2].range(79, 64) = 0;
crystals[26] = link_in[2].range(95, 80) = 0;
crystals[27] = link_in[2].range(111, 96) = 0;
crystals[28] = link_in[2].range(127, 112) = 0;
crystals[29] = link_in[2].range(143, 128) = 0;
crystals[30] = link_in[2].range(159, 144) = 0;
crystals[31] = link_in[2].range(175, 160) = 0;
crystals[32] = link_in[2].range(191, 176) = 0;
crystals[33] = link_in[3].range(31, 16) = 0;
crystals[34] = link_in[3].range(47, 32) = 0;
crystals[35] = link_in[3].range(63, 48) = 0;
crystals[36] = link_in[3].range(79, 64) = 48;
crystals[37] = link_in[3].range(95, 80) = 0;
crystals[38] = link_in[3].range(111, 96) = 0;
crystals[39] = link_in[3].range(127, 112) = 0;
crystals[40] = link_in[3].range(143, 128) = 64;
crystals[41] = link_in[3].range(159, 144) = 0;
crystals[42] = link_in[3].range(175, 160) = 0;
crystals[43] = link_in[3].range(191, 176) = 0;
crystals[44] = link_in[4].range(31, 16) = 0;
crystals[45] = link_in[4].range(47, 32) = 0;
crystals[46] = link_in[4].range(63, 48) = 0;
crystals[47] = link_in[4].range(79, 64) = 0;
crystals[48] = link_in[4].range(95, 80) = 0;
crystals[49] = link_in[4].range(111, 96) = 0;
crystals[50] = link_in[4].range(127, 112) = 0;
crystals[51] = link_in[4].range(143, 128) = 0;
crystals[52] = link_in[4].range(159, 144) = 0;
crystals[53] = link_in[4].range(175, 160) = 0;
crystals[54] = link_in[4].range(191, 176) = 0;
crystals[55] = link_in[5].range(31, 16) = 0;
crystals[56] = link_in[5].range(47, 32) = 0;
crystals[57] = link_in[5].range(63, 48) = 0;
crystals[58] = link_in[5].range(79, 64) = 0;
crystals[59] = link_in[5].range(95, 80) = 0;
crystals[60] = link_in[5].range(111, 96) = 0;
crystals[61] = link_in[5].range(127, 112) = 0;
crystals[62] = link_in[5].range(143, 128) = 0;
crystals[63] = link_in[5].range(159, 144) = 0;
crystals[64] = link_in[5].range(175, 160) = 0;
crystals[65] = link_in[5].range(191, 176) = 0;
crystals[66] = link_in[6].range(31, 16) = 0;
crystals[67] = link_in[6].range(47, 32) = 0;
crystals[68] = link_in[6].range(63, 48) = 0;
crystals[69] = link_in[6].range(79, 64) = 0;
crystals[70] = link_in[6].range(95, 80) = 0;
crystals[71] = link_in[6].range(111, 96) = 0;
crystals[72] = link_in[6].range(127, 112) = 0;
crystals[73] = link_in[6].range(143, 128) = 0;
crystals[74] = link_in[6].range(159, 144) = 0;
crystals[75] = link_in[6].range(175, 160) = 0;
crystals[76] = link_in[6].range(191, 176) = 0;
crystals[77] = link_in[7].range(31, 16) = 0;
crystals[78] = link_in[7].range(47, 32) = 0;
crystals[79] = link_in[7].range(63, 48) = 0;
crystals[80] = link_in[7].range(79, 64) = 0;
crystals[81] = link_in[7].range(95, 80) = 0;
crystals[82] = link_in[7].range(111, 96) = 0;
crystals[83] = link_in[7].range(127, 112) = 0;
crystals[84] = link_in[7].range(143, 128) = 0;
crystals[85] = link_in[7].range(159, 144) = 0;
crystals[86] = link_in[7].range(175, 160) = 0;
crystals[87] = link_in[7].range(191, 176) = 0;
crystals[88] = link_in[8].range(31, 16) = 0;
crystals[89] = link_in[8].range(47, 32) = 0;
crystals[90] = link_in[8].range(63, 48) = 0;
crystals[91] = link_in[8].range(79, 64) = 0;
crystals[92] = link_in[8].range(95, 80) = 0;
crystals[93] = link_in[8].range(111, 96) = 0;
crystals[94] = link_in[8].range(127, 112) = 0;
crystals[95] = link_in[8].range(143, 128) = 0;
crystals[96] = link_in[8].range(159, 144) = 0;
crystals[97] = link_in[8].range(175, 160) = 0;
crystals[98] = link_in[8].range(191, 176) = 0;
crystals[99] = link_in[9].range(31, 16) = 0;
crystals[100] = link_in[9].range(47, 32) = 0;
crystals[101] = link_in[9].range(63, 48) = 0;
crystals[102] = link_in[9].range(79, 64) = 0;
crystals[103] = link_in[9].range(95, 80) = 0;
crystals[104] = link_in[9].range(111, 96) = 0;
crystals[105] = link_in[9].range(127, 112) = 0;
